Index,HasCreditCard,IsMale,CreditScore,Tenure,IsFromFrance,Balance,Salary,IsFromGermany,IsFromSpain,NumOfProducts,HasAnyDeposit,IsActiveMember,AgeGroup,Age,Churned
2152,1,1,753,7,1,0.0,159475.08,0,0,1,0,0,52,57,1
8393,1,1,739,3,0,102128.27,63981.37,1,0,1,1,0,27,32,1
5007,1,0,755,0,0,113865.23,117396.25,1,0,2,1,1,32,37,0
4118,1,1,561,5,1,0.0,83093.25,0,0,2,0,0,32,37,0
7183,0,1,692,6,0,110540.43,107472.99,1,0,2,1,1,47,49,0
3523,1,0,659,9,1,0.0,132809.18,0,0,2,0,1,37,38,0
8784,1,1,782,9,1,0.0,183021.06,0,0,1,0,0,32,34,1
742,1,1,546,8,1,156325.38,125381.02,0,0,1,1,1,22,24,0
1320,0,1,756,2,0,124439.49,47093.11,1,0,2,1,1,37,41,0
2923,0,1,685,6,0,83264.28,9663.28,0,1,1,1,0,32,34,0
4840,1,0,531,5,1,127642.44,141501.45,0,0,1,1,0,52,53,1
8112,1,0,560,3,1,115141.18,39806.75,0,0,1,1,0,27,31,0
2219,1,0,733,9,0,102289.85,115441.66,0,1,1,1,1,27,31,0
8514,0,0,674,4,0,111568.01,22026.18,1,0,1,1,1,22,27,0
9543,1,1,644,9,0,0.0,96442.86,0,1,2,0,1,32,37,0
8347,0,1,695,9,0,0.0,38533.79,0,1,3,0,1,27,32,0
7651,1,1,750,8,0,151836.36,68695.38,1,0,2,1,0,37,42,0
3656,0,1,754,6,0,98585.94,106116.84,1,0,2,1,1,32,35,0
7293,1,1,744,3,0,0.0,27244.35,0,1,2,0,0,32,34,0
5937,1,0,588,9,0,67178.19,163534.75,0,1,1,1,1,18,22,1
7388,0,1,696,8,1,161889.79,75562.47,0,0,1,1,0,42,44,0
2435,1,0,774,2,1,56580.93,113266.28,0,0,1,1,0,47,52,1
2582,1,1,704,0,1,0.0,183038.33,0,0,2,0,0,27,31,0
2698,1,1,723,7,1,0.0,150694.58,0,0,2,0,1,47,48,0
1223,1,1,536,1,1,65733.41,61094.53,0,0,1,1,0,42,46,0
7724,0,1,691,6,0,0.0,178038.17,0,1,2,0,1,32,35,0
2096,1,0,611,7,0,128486.91,10109.47,1,0,2,1,0,37,40,0
8699,0,1,691,7,0,101231.77,156529.44,1,0,2,1,0,27,30,0
5457,1,1,659,9,0,134464.58,178833.34,1,0,2,1,0,32,34,0
6456,0,0,711,9,1,0.0,3234.8,0,0,2,0,1,27,29,0
1671,1,1,559,3,0,114739.92,85891.02,0,1,1,1,0,22,24,1
1573,1,0,716,3,1,109528.28,27341.63,0,0,1,1,0,42,44,1
8949,1,1,583,3,1,91246.53,60017.46,0,0,1,1,0,47,48,1
579,1,0,593,6,1,0.0,65170.66,0,0,1,0,0,37,41,0
1994,0,1,824,8,0,134250.17,153046.16,1,0,3,1,0,57,60,1
6697,1,0,567,3,1,0.0,55362.45,0,0,1,0,0,47,48,0
1805,0,1,552,5,1,140931.57,10921.5,0,0,1,1,1,32,33,0
4172,0,0,564,6,1,0.0,7819.76,0,0,1,0,0,22,27,0
3812,1,0,756,9,1,0.0,35673.42,0,0,2,0,0,37,42,0
5435,1,0,733,5,0,0.0,131625.14,0,1,2,0,0,27,32,0
6423,0,1,772,9,1,152347.01,17671.78,0,0,1,1,1,42,47,0
7081,0,0,628,10,0,115280.49,12628.61,1,0,2,1,0,47,51,1
5768,0,0,579,2,1,0.0,11514.39,0,0,2,0,0,42,45,0
214,1,0,676,1,1,63095.01,40645.81,0,0,1,1,1,32,34,0
30,1,1,411,0,1,59697.17,53483.21,0,0,2,1,1,27,29,0
5086,1,1,547,8,0,121537.71,46521.45,1,0,2,1,0,47,49,1
8609,1,0,727,3,0,82729.47,60212.51,1,0,2,1,0,27,31,0
8186,0,0,722,6,0,89175.06,152883.95,1,0,2,1,1,37,40,0
8851,1,0,500,5,0,0.0,83866.35,0,1,4,0,1,47,50,1
